orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10321,ISLAT,3,1996-10-03 00:00:00.000,1996-10-31 00:00:00.000,1996-10-11 00:00:00.000,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,7,1996-10-04 00:00:00.000,1996-11-01 00:00:00.000,1996-10-23 00:00:00.000,3,0.40,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico
10323,KOENE,4,1996-10-07 00:00:00.000,1996-11-04 00:00:00.000,1996-10-14 00:00:00.000,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10324,SAVEA,9,1996-10-08 00:00:00.000,1996-11-05 00:00:00.000,1996-10-10 00:00:00.000,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,KOENE,1,1996-10-09 00:00:00.000,1996-10-23 00:00:00.000,1996-10-14 00:00:00.000,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10326,BOLID,4,1996-10-10 00:00:00.000,1996-11-07 00:00:00.000,1996-10-14 00:00:00.000,2,77.92,Bólido Comidas preparadas,C/ Araquil 67,Madrid,NULL,28023,Spain
10327,FOLKO,2,1996-10-11 00:00:00.000,1996-11-08 00:00:00.000,1996-10-14 00:00:00.000,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10328,FURIB,4,1996-10-14 00:00:00.000,1996-11-11 00:00:00.000,1996-10-17 00:00:00.000,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10329,SPLIR,4,1996-10-15 00:00:00.000,1996-11-26 00:00:00.000,1996-10-23 00:00:00.000,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,LILAS,3,1996-10-16 00:00:00.000,1996-11-13 00:00:00.000,1996-10-28 00:00:00.000,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,9,1996-10-16 00:00:00.000,1996-11-27 00:00:00.000,1996-10-21 00:00:00.000,1,10.19,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France
10332,MEREP,3,1996-10-17 00:00:00.000,1996-11-28 00:00:00.000,1996-10-21 00:00:00.000,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10333,WARTH,5,1996-10-18 00:00:00.000,1996-11-15 00:00:00.000,1996-10-25 00:00:00.000,3,0.59,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10334,VICTE,8,1996-10-21 00:00:00.000,1996-11-18 00:00:00.000,1996-10-28 00:00:00.000,2,8.56,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France
10335,HUNGO,7,1996-10-22 00:00:00.000,1996-11-19 00:00:00.000,1996-10-24 00:00:00.000,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10336,PRINI,7,1996-10-23 00:00:00.000,1996-11-20 00:00:00.000,1996-10-25 00:00:00.000,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,NULL,1756,Portugal
10337,FRANK,4,1996-10-24 00:00:00.000,1996-11-21 00:00:00.000,1996-10-29 00:00:00.000,3,108.26,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10338,OLDWO,4,1996-10-25 00:00:00.000,1996-11-22 00:00:00.000,1996-10-29 00:00:00.000,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,MEREP,2,1996-10-28 00:00:00.000,1996-11-25 00:00:00.000,1996-11-04 00:00:00.000,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10340,BONAP,1,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-08 00:00:00.000,3,166.31,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France
10341,SIMOB,7,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-05 00:00:00.000,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
10342,FRANK,4,1996-10-30 00:00:00.000,1996-11-13 00:00:00.000,1996-11-04 00:00:00.000,2,54.83,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10343,LEHMS,4,1996-10-31 00:00:00.000,1996-11-28 00:00:00.000,1996-11-06 00:00:00.000,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10344,WHITC,4,1996-11-01 00:00:00.000,1996-11-29 00:00:00.000,1996-11-05 00:00:00.000,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,QUICK,2,1996-11-04 00:00:00.000,1996-12-02 00:00:00.000,1996-11-11 00:00:00.000,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10346,RATTC,3,1996-11-05 00:00:00.000,1996-12-17 00:00:00.000,1996-11-08 00:00:00.000,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,FAMIA,4,1996-11-06 00:00:00.000,1996-12-04 00:00:00.000,1996-11-08 00:00:00.000,3,3.10,Familia Arquibaldo,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil
10348,WANDK,4,1996-11-07 00:00:00.000,1996-12-05 00:00:00.000,1996-11-15 00:00:00.000,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10349,SPLIR,7,1996-11-08 00:00:00.000,1996-12-06 00:00:00.000,1996-11-15 00:00:00.000,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,6,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-12-03 00:00:00.000,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10351,ERNSH,1,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-11-20 00:00:00.000,1,162.33,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10352,FURIB,3,1996-11-12 00:00:00.000,1996-11-26 00:00:00.000,1996-11-18 00:00:00.000,3,1.30,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10353,PICCO,7,1996-11-13 00:00:00.000,1996-12-11 00:00:00.000,1996-11-25 00:00:00.000,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria
10354,PERIC,8,1996-11-14 00:00:00.000,1996-12-12 00:00:00.000,1996-11-20 00:00:00.000,3,53.80,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico
10355,AROUT,6,1996-11-15 00:00:00.000,1996-12-13 00:00:00.000,1996-11-20 00:00:00.000,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,WANDK,6,1996-11-18 00:00:00.000,1996-12-16 00:00:00.000,1996-11-27 00:00:00.000,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10357,LILAS,1,1996-11-19 00:00:00.000,1996-12-17 00:00:00.000,1996-12-02 00:00:00.000,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,1996-11-20 00:00:00.000,1996-12-18 00:00:00.000,1996-11-27 00:00:00.000,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10359,SEVES,5,1996-11-21 00:00:00.000,1996-12-19 00:00:00.000,1996-11-26 00:00:00.000,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10360,BLONP,4,1996-11-22 00:00:00.000,1996-12-20 00:00:00.000,1996-12-02 00:00:00.000,3,131.70,Blondel père et fils,24 place Kléber,Strasbourg,NULL,67000,France
10361,QUICK,1,1996-11-22 00:00:00.000,1996-12-20 00:00:00.000,1996-12-03 00:00:00.000,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10362,BONAP,3,1996-11-25 00:00:00.000,1996-12-23 00:00:00.000,1996-11-28 00:00:00.000,1,96.04,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France
10363,DRACD,4,1996-11-26 00:00:00.000,1996-12-24 00:00:00.000,1996-12-04 00:00:00.000,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,NULL,52066,Germany
10364,EASTC,1,1996-11-26 00:00:00.000,1997-01-07 00:00:00.000,1996-12-04 00:00:00.000,1,71.97,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK
10365,ANTON,3,1996-11-27 00:00:00.000,1996-12-25 00:00:00.000,1996-12-02 00:00:00.000,2,22.00,Antonio Moreno Taquería,Mataderos  2312,México D.F.,NULL,05023,Mexico
10366,GALED,8,1996-11-28 00:00:00.000,1997-01-09 00:00:00.000,1996-12-30 00:00:00.000,2,10.14,Galería del gastronómo,Rambla de Cataluña 23,Barcelona,NULL,8022,Spain
10367,VAFFE,7,1996-11-28 00:00:00.000,1996-12-26 00:00:00.000,1996-12-02 00:00:00.000,3,13.55,Vaffeljernet,Smagsloget 45,Århus,NULL,8200,Denmark
10368,ERNSH,2,1996-11-29 00:00:00.000,1996-12-27 00:00:00.000,1996-12-02 00:00:00.000,2,101.95,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10369,SPLIR,8,1996-12-02 00:00:00.000,1996-12-30 00:00:00.000,1996-12-09 00:00:00.000,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,CHOPS,6,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-27 00:00:00.000,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10371,LAMAI,1,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-24 00:00:00.000,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10372,QUEEN,5,1996-12-04 00:00:00.000,1997-01-01 00:00:00.000,1996-12-09 00:00:00.000,2,890.78,Queen Cozinha,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil
10373,HUNGO,4,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-11 00:00:00.000,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10374,WOLZA,1,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-09 00:00:00.000,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland
10375,HUNGC,3,1996-12-06 00:00:00.000,1997-01-03 00:00:00.000,1996-12-09 00:00:00.000,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,MEREP,1,1996-12-09 00:00:00.000,1997-01-06 00:00:00.000,1996-12-13 00:00:00.000,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10377,SEVES,1,1996-12-09 00:00:00.000,1997-01-06 00:00:00.000,1996-12-13 00:00:00.000,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10378,FOLKO,5,1996-12-10 00:00:00.000,1997-01-07 00:00:00.000,1996-12-19 00:00:00.000,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10379,QUEDE,2,1996-12-11 00:00:00.000,1997-01-08 00:00:00.000,1996-12-13 00:00:00.000,1,45.03,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10380,HUNGO,8,1996-12-12 00:00:00.000,1997-01-09 00:00:00.000,1997-01-16 00:00:00.000,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10381,LILAS,3,1996-12-12 00:00:00.000,1997-01-09 00:00:00.000,1996-12-13 00:00:00.000,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,ERNSH,4,1996-12-13 00:00:00.000,1997-01-10 00:00:00.000,1996-12-16 00:00:00.000,1,94.77,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10383,AROUT,8,1996-12-16 00:00:00.000,1997-01-13 00:00:00.000,1996-12-18 00:00:00.000,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
